Arrondissement;No OFS;Commune;Électeurs;Bulletins;Nuls;Valables;Blancs;Participation;Amarelle Cesla;Borloz Frédéric;Buffat Michaël;Dittli Valérie;Gorrite Nuria;Moret Isabelle;Ruiz Rebecca;Venizelos Vassilis
Aigle;5402;Bex;4405;1477;23;1454;11;33,53;674;819;633;655;825;753;829;716
Aigle;5403;Chessel;303;117;3;114;0;38,61;34;80;69;73;38;75;43;36
Aigle;5404;Corbeyrier;329;145;2;143;6;44,07;54;90;74;74;69;84;71;48
Aigle;5405;Gryon;829;321;5;316;1;38,72;127;210;150;159;173;187;163;132
Aigle;5406;Lavey-Morcles;616;209;1;208;3;33,93;76;138;119;120;90;116;99;80
Aigle;5407;Leysin;1481;591;5;586;5;39,91;238;365;273;291;284;342;284;250
Aigle;5408;Noville;677;233;4;229;1;34,42;74;153;132;134;93;148;99;77
Aigle;5409;Ollon VD;4254;1853;17;1836;7;43,56;688;1180;924;1007;889;1118;904;771
Aigle;5410;Ormont-Dessous;772;294;4;290;3;38,08;85;211;161;163;106;178;100;79
Aigle;5411;Ormont-Dessus;931;408;20;388;4;43,82;115;300;237;251;160;269;149;103
Aigle;5412;Rennaz;481;134;3;131;0;27,86;58;75;61;75;68;74;75;58
Aigle;5413;Roche VD;922;252;4;248;0;27,33;111;150;119;127;134;136;131;107
Aigle;5415;Yvorne;688;318;6;312;2;46,22;96;234;181;185;123;221;124;96
Broye - Vully;5451;Avenches;2307;656;6;650;8;28,44;270;375;330;362;314;399;321;250
Broye - Vully;5663;Bussy-sur-Moudon;154;73;0;73;1;47,40;27;51;43;43;36;43;37;22
Broye - Vully;5812;Champtauroz;116;55;0;55;0;47,41;26;30;26;29;30;32;30;29
Broye - Vully;5665;Chavannes-sur-Moudon;164;82;1;81;1;50,00;18;65;59;61;27;61;22;12
Broye - Vully;5813;Chevroux;368;140;1;139;0;38,04;57;85;76;79;69;90;70;49
Broye - Vully;5785;Corcelles-le-Jorat;327;172;2;170;4;52,60;57;106;96;108;68;102;69;54
Broye - Vully;5816;Corcelles-près-Payerne;1530;521;5;516;0;34,05;160;363;322;337;201;361;208;152
Broye - Vully;5456;Cudrefin;1237;337;6;331;4;27,24;145;183;159;167;168;184;168;143
Broye - Vully;5669;Curtilles;218;94;0;94;2;43,12;37;53;46;49;50;57;50;42
Broye - Vully;5671;Dompierre VD;178;91;1;90;3;51,12;23;66;61;56;38;64;40;21
Broye - Vully;5458;Faoug;586;144;2;142;1;24,57;64;87;72;75;70;87;71;58
Broye - Vully;5817;Grandcour;639;244;1;243;0;38,18;87;166;151;153;105;176;92;74
Broye - Vully;5819;Henniez;230;59;0;59;0;25,65;14;41;39;39;20;41;21;18
Broye - Vully;5673;Hermenches;261;118;1;117;0;45,21;37;88;82;76;53;89;54;27
Broye - Vully;5674;Lovatens;107;46;0;46;1;42,99;18;28;25;27;20;27;20;17
Broye - Vully;5675;Lucens;2132;675;7;668;10;31,66;299;367;319;321;371;371;366;303
Broye - Vully;5821;Missy;255;105;1;104;0;41,18;50;65;58;55;56;68;60;41
Broye - Vully;5678;Moudon;2586;744;4;740;7;28,77;355;383;340;337;410;386;415;345
Broye - Vully;5822;Payerne;4831;1523;12;1511;5;31,53;572;954;864;864;679;925;706;562
Broye - Vully;5683;Prévonloup;147;60;0;60;0;40,82;22;38;35;31;30;37;28;23
Broye - Vully;5798;Ropraz;335;135;1;134;3;40,30;40;85;80;84;52;87;50;41
Broye - Vully;5684;Rossenges;60;24;0;24;0;40,00;3;20;18;20;5;21;7;6
Broye - Vully;5688;Syens;93;42;1;41;1;45,16;12;26;25;29;17;30;15;11
Broye - Vully;5827;Trey;202;88;2;86;0;43,56;32;60;55;50;37;56;39;27
Broye - Vully;5828;Treytorrens (Payerne);77;35;0;35;0;45,45;8;27;25;28;12;30;12;9
Broye - Vully;5831;Valbroye;2033;812;9;803;3;39,94;264;570;509;507;342;547;327;260
Broye - Vully;5690;Villars-le-Comte;95;42;1;41;0;44,21;10;33;29;29;15;31;13;9
Broye - Vully;5830;Villarzel;310;123;0;123;1;39,68;56;73;63;56;74;74;72;58
Broye - Vully;5692;Vucherens;450;184;2;182;1;40,89;69;102;102;100;88;99;89;73
Broye - Vully;5803;Vulliens;416;201;3;198;2;48,32;84;134;106;116;92;130;97;76
Broye - Vully;5464;Vully-les-Lacs;2303;717;11;706;4;31,13;263;483;419;418;306;462;297;239
Gros-de-Vaud;5511;Assens;1130;509;7;502;1;45,04;155;345;302;329;218;340;197;155
Gros-de-Vaud;5512;Bercher;837;359;4;355;1;42,89;147;200;175;189;192;206;191;168
Gros-de-Vaud;5471;Bettens;394;141;2;139;5;35,79;43;86;80;90;60;91;57;51
Gros-de-Vaud;5514;Bottens;876;360;15;345;1;41,10;112;229;203;213;150;229;154;112
Gros-de-Vaud;5661;Boulens;266;122;0;122;0;45,86;61;61;59;58;68;58;65;61
Gros-de-Vaud;5472;Bournens;306;124;0;124;2;40,52;27;91;83;86;45;86;43;36
Gros-de-Vaud;5473;Boussens;639;242;9;233;1;37,87;95;134;122;133;124;132;118;104
Gros-de-Vaud;5515;Bretigny-sur-Morrens;544;210;1;209;3;38,60;93;105;87;103;128;106;127;107
Gros-de-Vaud;5516;Cugy VD;1630;679;11;668;3;41,66;300;374;296;323;394;373;390;335
Gros-de-Vaud;5518;Echallens;3552;1387;21;1366;10;39,05;635;744;618;647;824;765;811;695
Gros-de-Vaud;5520;Essertines-sur-Yverdon;697;280;7;273;5;40,17;85;185;163;162;129;185;127;97
Gros-de-Vaud;5521;Etagnières;719;305;5;300;5;42,42;142;164;129;152;178;171;181;143
Gros-de-Vaud;5522;Fey;496;197;3;194;0;39,72;98;113;83;93;118;117;117;97
Gros-de-Vaud;5523;Froideville;1669;705;12;693;6;42,24;262;435;390;385;345;409;339;271
Gros-de-Vaud;5541;Goumoëns;747;364;6;358;4;48,73;116;240;210;222;172;236;155;122
