Arrondissement;No OFS;Commune;Électeurs;Bulletins;Nuls;Valables;Blancs;Participation;Amarelle Cesla;Bagiella Luca;Barbezat-Fuchs Circé;Borloz Frédéric;Buclin Hadrien;Buffat Michaël;Dardenne Lynn;De Benedictis Jerome;de Sepibus Patrick;Dittli Valérie;Gorrite Nuria;Guillaume Toto Morand;Keller Vincent;Lima Gabriella;Lopez Elodie;Luisier Brodard Christelle;Marendaz Mathilde;Metry Micaël;Misiego Céline;Moret Isabelle;Pahud Olivier;Pointet Cloé;Ruiz Rebecca;Schaller Graziella;Venizelos Vassilis
Aigle;5412;Rennaz;481;101;1;100;0;21,00;45;0;5;54;7;42;0;5;0;38;48;3;1;4;6;53;4;1;4;54;0;6;51;5;40
Broye - Vully;5819;Henniez;232;52;0;52;0;22,41;10;0;2;38;1;37;1;3;1;33;11;7;2;0;0;39;0;1;1;37;0;1;14;1;7
Broye - Vully;5458;Faoug;580;133;1;132;0;22,93;49;1;1;68;9;62;2;7;2;55;52;4;4;10;8;79;10;4;4;70;2;7;56;7;39
Nyon;5727;Saint-Cergue;1519;362;13;349;2;23,83;158;8;11;145;17;125;10;24;7;125;173;29;17;14;17;149;15;16;18;161;13;25;170;29;137
Aigle;5413;Roche VD;916;221;1;220;1;24,13;86;5;23;137;8;98;6;5;6;95;106;19;6;7;10;121;7;7;7;127;3;10;100;8;74
Broye - Vully;5675;Lucens;2627;636;11;625;6;24,21;264;11;11;303;32;274;15;25;16;254;309;55;13;20;19;365;18;19;20;312;19;23;309;26;231
Ouest lausannois;5627;Chavannes-près-Renens;3137;783;16;767;7;24,96;415;11;26;220;63;205;14;34;11;206;435;50;103;45;45;238;42;33;99;225;9;36;424;46;400
Broye - Vully;5451;Avenches;2301;619;15;604;6;26,90;240;8;22;327;20;285;11;26;11;295;270;26;13;21;16;386;28;18;11;357;15;33;273;32;187
Ouest lausannois;5583;Crissier;3984;1087;10;1077;11;27,28;410;20;34;479;60;424;26;89;31;424;470;83;79;41;54;526;50;36;67;453;27;69;480;80;399
Broye - Vully;5456;Cudrefin;1231;337;8;329;5;27,38;132;4;3;185;4;156;2;11;2;159;139;10;5;4;4;198;4;6;5;184;1;9;146;9;101
Broye - Vully;5678;Moudon;2580;709;10;699;7;27,48;285;5;14;324;50;295;7;42;9;277;333;65;32;36;40;379;44;14;36;335;8;46;337;52;258
